arg,dependency,count
0,advmod,8
0,punct,40
0,nsubj,25
0,ROOT,7
0,acomp,0
0,advcl,0
0,aux,0
0,prep,57
0,det,8
0,nsubjpass,8
0,auxpass,0
0,xcomp,0
0,dep,4
0,npadvmod,12
0,dative,3
0,dobj,0
0,attr,0
0,oprd,0
0,intj,2
0,conj,0
2,advmod,8
2,punct,40
2,nsubj,25
2,ROOT,7
2,acomp,0
2,advcl,0
2,aux,0
2,prep,57
2,det,8
2,nsubjpass,8
2,auxpass,0
2,xcomp,0
2,dep,4
2,npadvmod,12
2,dative,3
2,dobj,0
2,attr,0
2,oprd,0
2,intj,2
2,conj,0
1,advmod,8
1,punct,40
1,nsubj,25
1,ROOT,7
1,acomp,0
1,advcl,0
1,aux,0
1,prep,57
1,det,8
1,nsubjpass,8
1,auxpass,0
1,xcomp,0
1,dep,4
1,npadvmod,12
1,dative,3
1,dobj,0
1,attr,0
1,oprd,0
1,intj,2
1,conj,0
M-ADV,advmod,8
M-ADV,punct,40
M-ADV,nsubj,25
M-ADV,ROOT,7
M-ADV,acomp,0
M-ADV,advcl,0
M-ADV,aux,0
M-ADV,prep,57
M-ADV,det,8
M-ADV,nsubjpass,8
M-ADV,auxpass,0
M-ADV,xcomp,0
M-ADV,dep,4
M-ADV,npadvmod,12
M-ADV,dative,3
M-ADV,dobj,0
M-ADV,attr,0
M-ADV,oprd,0
M-ADV,intj,2
M-ADV,conj,0
